1.6791,1.7346,2.6346
2.1291,2.1846,2.0346
0.97914,1.4041,3.2046
1.7291,0.83462,2.4846
1.5241,1.5471,2.1646
1.2381,1.2936,1.7616
2.3169,2.6346,3.7346
1.6291,1.6346,3.1346
2.2391,2.2346,2.5846
1.2791,1.5346,2.0346
1.9791,1.4546,2.6346
0.84164,0.90362,2.0346
2.0441,1.9696,2.5052
2.2391,2.3346,2.2946
3.1101,3.2566,2.8146
1.2771,1.3456,2.1346
1.1991,1.2546,1.5246
1.1341,1.3196,2.7346
2.4791,2.5346,1.7226
1.2059,1.2746,1.9956
1.8491,1.9696,2.8346
2.1791,2.2346,1.9346
1.4991,2.1346,1.5346
2.1791,2.0346,1.4946
2.0721,2.2046,3.2846
2.2391,2.0086,1.1346
3.1011,2.5846,1.7346
1.5241,1.5926,2.2346
1.8091,2.0346,2.6196
2.7791,2.6846,1.6186
0.90914,0.93462,1.4067
2.1091,2.2426,1.8146
2.0291,0.87462,2.9346
0.97914,0.93462,2.4346
1.4851,1.4886,1.2416
4.3741,2.1646,1.0986
2.4791,2.4246,1.9696
2.2506,1.471,2.6742
2.8791,2.8146,2.6846
2.6791,2.7346,2.2346
2.9291,5.3246,1.9946
0.83914,0.96472,2.5946
2.2791,1.1896,1.0346
1.4591,1.6446,2.4346
1.2121,1.2546,1.2676
1.0691,1.3326,1.5746
1.0431,1.0596,3.1346
0.89914,1.2946,1.2846
1.4591,2.7346,1.7941
2.6791,2.7346,5.7946
1.8791,2.0546,3.2346
2.5641,2.7886,7.2346
2.4341,2.3726,1.3396
1.3291,1.3546,1.7346
1.8361,2.5536,2.5694
1.9791,1.6946,2.7346
2.3691,2.4896,2.8509
1.3941,1.4756,5.1546
3.8291,2.5846,1.8656
2.1091,2.1646,2.2686
1.3941,1.4821,1.7196
2.1791,2.2346,1.0346
2.6791,3.0346,1.7346
2.6791,2.6846,2.1846
2.9791,3.1346,2.2346
2.5071,3.2746,2.6346
1.2511,1.3846,1.2546
1.5791,3.4346,2.8346
2.1221,4.3993,1.9846
2.4791,2.7346,1.3326
2.0311,2.1061,2.1386
2.2791,2.2846,2.5346
1.3681,1.4236,1.8346
2.1661,1.9306,1.5796
1.5891,1.5146,1.4346
1.9648,2.0203,1.7226
1.5241,1.5926,2.9186
1.7191,1.8146,3.3346
1.9791,2.0346,1.7346
2.2313,2.292,2.0346
1.2381,1.2676,1.9346
1.9791,2.0346,2.1646
2.9691,2.9346,2.6746
2.1791,2.3346,2.0346
2.2391,2.5546,2.6196
1.2381,1.2806,1.1701
3.4791,2.9746,5.0346
2.4851,2.5406,4.7346
1.6996,1.772,3.1096
2.8791,3.1346,2.2746
1.6658,2.292,1.3546
2.4791,2.4646,1.2346
1.3291,1.3846,2.292
1.2901,1.3196,1.5346
2.7591,3.1396,1.5746
1.8751,2.3986,3.0846
1.6931,2.3596,2.2946
0.92224,0.97122,2.6932
2.1091,1.4886,3.0346
2.8891,2.9446,1.0596
1.7591,1.5746,1.6186
2.6291,2.5806,2.2946
2.3791,1.5046,3.2346
1.8691,1.9346,1.6946
3.8791,3.8346,1.1636
1.1791,1.1346,2.1633
3.1166,4.3746,3.0346
1.9681,2.3446,1.8346
1.4791,2.5346,1.4691
0.68746,1.4346,3.5346
2.2791,2.2346,2.5536
1.9791,2.0346,2.9446
1.9791,1.9846,1.3066
2.8791,3.6346,2.4246
2.6291,2.8146,1.4146
2.1791,2.1386,2.8346
8.6791,5.2346,2.9446
1.2251,1.3326,2.0346
1.8441,2.3346,3.3346
1.021,1.0986,3.7346
